5852 13:13:45 INFO  [Index=sitecore_core_index] Initializing IntervalAsynchronousUpdateStrategy with interval '00:01:00'.
5852 13:13:46 INFO  [Index=sitecore_core_index] Initializing SitecoreItemCrawler. DB:core / Root:/sitecore
5852 13:13:46 INFO  [Index=sitecore_master_index] Initializing SynchronousStrategy.
5852 13:13:46 INFO  [Index=sitecore_master_index] Initializing SitecoreItemCrawler. DB:master / Root:/sitecore
5852 13:13:46 INFO  [Index=sitecore_web_index] Initializing OnPublishEndAsynchronousStrategy.
5852 13:13:46 INFO  [Index=sitecore_web_index] Initializing SitecoreItemCrawler. DB:web / Root:/sitecore
9260 13:14:46 INFO  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy executing.
9260 13:14:46 INFO  [Index=sitecore_core_index] History engine is empty. Incremental rebuild returns
9260 13:15:48 INFO  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy executing.
9260 13:15:48 INFO  [Index=sitecore_core_index] History engine is empty. Incremental rebuild returns
9552 13:16:50 INFO  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy executing.
9552 13:16:50 INFO  [Index=sitecore_core_index] History engine is empty. Incremental rebuild returns
3516 13:17:50 INFO  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy executing.
3516 13:17:50 INFO  [Index=sitecore_core_index] History engine is empty. Incremental rebuild returns
9552 13:18:52 INFO  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy executing.
9552 13:18:52 INFO  [Index=sitecore_core_index] History engine is empty. Incremental rebuild returns
10028 13:19:54 INFO  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy executing.
10028 13:19:54 INFO  [Index=sitecore_core_index] History engine is empty. Incremental rebuild returns
9592 13:20:56 INFO  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy executing.
9592 13:20:56 INFO  [Index=sitecore_core_index] History engine is empty. Incremental rebuild returns
6516 13:21:56 INFO  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy executing.
6516 13:21:56 INFO  [Index=sitecore_core_index] History engine is empty. Incremental rebuild returns
10028 13:22:58 INFO  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy executing.
10028 13:22:58 INFO  [Index=sitecore_core_index] History engine is empty. Incremental rebuild returns
10028 13:23:59 INFO  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy executing.
10028 13:23:59 INFO  [Index=sitecore_core_index] History engine is empty. Incremental rebuild returns
2636 13:25:01 INFO  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy executing.
2636 13:25:01 INFO  [Index=sitecore_core_index] History engine is empty. Incremental rebuild returns
10028 13:26:03 INFO  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy executing.
10028 13:26:03 INFO  [Index=sitecore_core_index] History engine is empty. Incremental rebuild returns
2636 13:27:03 INFO  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy executing.
2636 13:27:03 INFO  [Index=sitecore_core_index] History engine is empty. Incremental rebuild returns
9552 13:28:03 INFO  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy executing.
9552 13:28:03 INFO  [Index=sitecore_core_index] History engine is empty. Incremental rebuild returns
9604 13:29:05 INFO  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy executing.
9604 13:29:05 INFO  [Index=sitecore_core_index] History engine is empty. Incremental rebuild returns
2636 13:30:07 INFO  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy executing.
2636 13:30:07 INFO  [Index=sitecore_core_index] History engine is empty. Incremental rebuild returns
10144 13:31:09 INFO  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy executing.
10144 13:31:09 INFO  [Index=sitecore_core_index] History engine is empty. Incremental rebuild returns
10148 13:32:09 INFO  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy executing.
10148 13:32:09 INFO  [Index=sitecore_core_index] History engine is empty. Incremental rebuild returns
10144 13:33:11 INFO  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy executing.
10144 13:33:11 INFO  [Index=sitecore_core_index] History engine is empty. Incremental rebuild returns
9988 13:34:13 INFO  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy executing.
9988 13:34:13 INFO  [Index=sitecore_core_index] History engine is empty. Incremental rebuild returns
9016 13:35:15 INFO  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy executing.
9016 13:35:15 INFO  [Index=sitecore_core_index] History engine is empty. Incremental rebuild returns
